"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 25 17:45:16 IST 2021","Mon Jan 25 17:45:21 IST 2021","5540","PriventiveMaintenance","PriventiveMaintenance","com.cisco.tests.sp2k.PreventiveMaintenanceIT","com.cisco.tests.sp2k.PreventiveMaintenanceIT","clickPreventiveMaintenancePageLink","verify and clicking on the Preventive Maintenance Page Link",""
"passed","Mon Jan 25 17:45:08 IST 2021","Mon Jan 25 17:45:08 IST 2021","471","PriventiveMaintenance","PriventiveMaintenance","com.cisco.tests.sp2k.PreventiveMaintenanceIT","com.cisco.tests.sp2k.PreventiveMaintenanceIT","checkPreventiveMaintenancePageLink","Verify Sp2k Main Menu Pages List",""
